run0,run1,run2,run3,run4,run5,run6,run7,run8,run9
869.8265400939329,951.4756979481085,935.8017426667894,954.6370710570884,867.8832903937694,980.2006826204407,924.3802622628434,952.8139523918956,926.6823763618102,894.4547374275523
879.8039446463624,938.0777414468159,868.0711994860752,862.0134369705753,865.5936459913554,976.1524324007553,953.8140207492718,899.6923443894632,934.4996337260476,913.9646271885656
901.7787135523935,958.6500914091932,896.2567135181325,876.2753192994088,948.7519987592785,984.1499582047886,961.9574208421521,792.2320333054721,881.1840298794351,830.1861419836692
907.4835428939319,973.0686317828988,947.3768370127611,819.5380280686918,939.078341583525,970.369392628088,958.8821439312834,686.2866624750629,818.6556967949537,895.7367170166368
977.2908294804413,961.8257618552676,890.0212272191661,778.5043042150764,979.3538442469131,960.7941231486028,944.943182951244,596.8326278384275,815.6402158843136,956.5813354668063
965.869459270105,926.6204864817516,922.2848967501603,769.7349739383721,950.035943534223,946.6826724720438,950.5888949325667,655.2158798415669,915.1649722738005,952.8425710630517
937.6381407372106,950.9780648107674,935.575917047081,709.2466018841337,962.6644213207483,964.9374421891181,935.2106552575848,873.894491434656,884.121528489794,939.714760782062
966.4550668098558,967.5070079361417,892.2219196325898,894.4415082377517,966.0473733508913,936.0318143053413,929.0137266368156,777.9043759681492,883.9744172514573,971.300165576764
873.0775836565684,964.3519914871293,961.4883899389748,982.5691096744529,928.7051128894827,934.9382841968073,936.3708358682157,856.8070374352325,912.8762901031218,931.8428150653614
859.1765344053999,961.6182768037847,956.0791427190703,940.9435968111151,925.2906536113459,968.5653609935678,912.1060888266661,899.1252980306747,938.0757872307677,934.3619244104412
795.9795930867912,960.2006748248077,970.5736500282317,917.8973138416087,957.2224802303098,976.2194113879884,914.807190900446,926.0653480319717,948.2172587943064,960.5821763426075
756.3918747793936,961.5319582544835,950.4356379507075,960.9444709386358,871.8907699880807,980.3307132631363,942.2236638186697,897.7935863767685,960.6979098963837,944.984119922899
715.5545431835301,982.1899053475885,958.051443003339,955.6216703524626,956.6752292400959,990.6402049892631,949.5674931607562,924.2751772535349,965.2219833292705,945.5682213043324
739.1451819377511,974.6257025562899,963.2813570512395,953.9156833728714,966.5070652458048,971.3374835185074,963.7243581542488,784.9272112572187,968.939217987652,961.7830133462135
898.4172076426735,939.8642673485407,959.59666191716,788.5828769084186,974.8562948738614,947.267254541665,947.3494058045869,900.7981125035889,974.2253863751749,949.8774482898244
881.0774468680985,975.0929191670058,984.1010674556471,851.9660883072146,942.5638014740574,970.4283079573823,961.9556274712251,910.6376330765243,974.203207769113,956.9983518998147
851.2958491332802,978.2855145074819,988.0445860673564,821.524059161824,969.2288533543601,967.2397949728525,971.8652652595573,967.3820473143664,970.9323407413262,972.8575983359719
890.1230728130561,967.7734599023894,973.9208193534423,726.2309461972046,943.473895995598,980.5179135267406,975.1811286538768,978.4639409193918,970.5298002498878,953.9367929265303
898.6780823286604,979.1819660060261,988.1259824641787,667.8999139496683,968.9507706911644,974.2227371079641,962.6403624708953,976.5486999168091,974.7544246590106,950.1413061157278
927.3232443550244,958.5855728928095,970.5023157503077,895.6121216776837,970.0213592055309,953.271593362999,950.409644675171,977.9918698261989,978.1582608630205,852.28784045484
930.0222353239377,989.7878648253258,982.1760816546699,946.3513807586462,944.3420161498425,969.1941306635205,955.5230178608879,966.2531293830114,957.132030692473,894.4499951027742
968.9556001783352,978.1657492057992,978.2173120878381,959.8761476329414,916.2811107946958,954.7108650979673,985.1438664298348,810.5929765923053,976.4260363893529,889.7497686540419
970.5173671723588,969.4860714461265,959.8590772146406,929.2186842476942,859.7301858676706,959.0456958202734,965.9630007473768,943.652568054866,977.7568310870103,922.9684755891049
947.8989838652162,965.4114266220749,980.1812193310744,885.8396561344053,906.1394939425955,976.0619645069306,955.2768963562053,953.1353527374118,957.2796361180183,955.866062734257
915.5356297231684,982.1036707660954,979.2334598832173,875.2560887808443,907.7719781402257,978.5310730963316,940.5632298801738,936.4541313023407,953.1600775245446,894.8609222790151
940.2228048231296,983.1346732668403,963.3315062550693,870.5255275322211,875.9567200412048,970.4699602950019,951.6937798748373,926.2303244467709,959.2188204681889,919.0776650482416
967.6538766304678,970.6332251282649,964.8467598582592,896.1189780930405,939.2981128766401,977.0908541289983,955.1399585112752,917.4539002358529,956.1410984175177,768.3409062552354
968.2586299299235,973.7490095984799,968.6187347927607,920.7144145951595,887.9175468193517,981.7118650024731,964.5425756851005,952.3865638354897,952.1957545187734,764.7101821880505
974.656887570685,974.240169865222,985.9525310768001,942.5053488318755,842.6107381397932,961.842058130998,963.132143945653,832.191608247601,934.8694187111918,939.187958107594
978.1074294380603,972.4446692589323,973.4624980502466,932.1097435155998,912.0517670951053,973.6003451872614,955.5229806890429,898.340334122913,911.2484994672446,801.9445447633109
963.9395007885282,964.768499559225,984.016926689749,953.7237999411725,857.9934473199578,980.4045847632403,920.6854945351752,931.0097991346831,937.8179814410099,964.3612283887105
